ID,Timestamp,Avg_rating,Total_answers,Total_ratings,Answer,Num_options,Question,OptionA,OptionB,OptionC,OptionD,OptionE,Explanation,Tags
7398726,13/10/2025 22:03,4,4,2,B,5,"<p><span style=""font-family: 'courier new', courier, monospace;""><span style=""font-family: 'courier new', courier, monospace;""><span style=""font-family: arial, helvetica, sans-serif;"">Which of the following&nbsp;</span><span style=""font-family: arial, helvetica, sans-serif;"">expressions&nbsp;</span><span style=""font-family: arial, helvetica, sans-serif;"">should replace ???? to correctly fill the array with 1, 4, 9, 16, 25</span> <span style=""font-family: arial, helvetica, sans-serif;"">?</span></span></span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">#include &lt;stdio.h&gt;</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">int main(void) {</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; int numbers[5];</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp;&nbsp;</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; for (int i = 0; i &lt; 5; i++) {</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp; numbers[i] = ????;</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; }</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; for (int i = 0; i &lt; 5; i++) {</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp; printf(""%d "", numbers[i]);</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; }</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; return 0;</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">}</span></p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>","<p><span style=""font-family: 'courier new', courier, monospace;"">i * i</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">(i + 1) * (i + 1)</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">i + i</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">i * (i + 1)</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">i * i + 1</span></p>","<p>The loop variable i starts at 0 and goes up to 4. To fill the array with the numbers 1, 4, 9, 16, and 25, we need to calculate the square of i + 1, because i itself starts at 0. Squaring i + 1 gives the correct values for each position in the array.</p><ul><li>Option A, i * i, would produce 0, 1, 4, 9, 16, which starts with 0 instead of 1.</li><li>Option B, (i + 1) * (i + 1), is correct because it correctly produces the sequence 1, 4, 9, 16, 25.</li><li>Option C, i + i, produces 0, 2, 4, 6, 8, which is incorrect.</li><li>Option D, i * (i + 1), gives 0, 2, 6, 12, 20, which is incorrect.</li><li>Option E, i * i + 1, produces 1, 2, 5, 10, 17, which is also incorrect.</li></ul>","Arrays, Loops, For loops, Order of operations"
7398730,13/10/2025 22:05,4,4,2,C,5,"<p>What is the output of this C program?<br /><br />int main() {<br />int arr[5] = {2, 4, 6, 8, 10};<br />int sum = 0;</p><p>for (int i = 0; i &lt; 5; i += 2) {<br />sum += arr[i];<br />}</p><p>printf(""Sum = %d\n"", sum);<br />return 0;<br />}</p>",<p>Sum = 16</p>,<p>Sum = 20</p>,<p>Sum = 18</p>,<p>Sum = 12</p>,<p>Sum = 10</p>,"<p>The program creates an array with the elements {2, 4, 6, 8, 10}.<br /> It also creates a variable sum and sets it to 0.<br /><br /><br /></p><p>The for loop goes through the array, but it only looks at every second element because: i increases by 2 each time.<br /> This means the loop will use the elements at positions: 0, 2, and 4.</p><p>At index 0, the element is 2. Adding it to sum gives sum = 2.</p><p>At index 2, the element is 6. Adding it to sum gives sum = 8.</p><p>At index 4, the element is 10. Adding it to sum gives sum = 18.</p><p>Finally, the program prints Sum = 18.</p>","Arrays, Loops, For loops, Incrementation, Indexing"
7398749,13/10/2025 22:16,4,3,2,E,5,"<p>Consider the following code below:</p><p>&nbsp;</p><p>#include &lt;stdio.h&gt;</p><p>&nbsp;</p><p>int AssignmentQuestion(int array[], int n)</p><p>{</p><p>&nbsp;</p><p>int a = -1;<br />for (int i = 0; i &lt; n; i++)</p><p>{<br />if (array[i] == 0)</p><p>{<br />a = i;<br />}<br />}</p><p>&nbsp;</p><p>return a;<br />}</p><p>&nbsp;</p><p>int main(void)</p><p>{<br />int a, b, c, d;<br />int arr1[6] = { 15, 31, 67, 42, 0, 34 };<br />int arr2[8] = { -17, 92, 28, -74, 10, 8, -57, 50 };<br />int arr3[10] = { 0, -2, 10, 11, 99, 46, 27, -10, 1, 52 };<br />int arr4[13] = { 4, 10, 12, -34, 17, 21, -72, 0, 39, -11, 62, 13, 0 };</p><p>&nbsp;</p><p>a = AssignmentQuestion(arr1, 6);<br />b = AssignmentQuestion(arr2, 8);<br />c = AssignmentQuestion(arr3, 10);<br />d = AssignmentQuestion(arr4, 13);</p><p>&nbsp;</p><p>printf(""Answer is: %d, %d, %d, %d."", a, b, c, d);<br />}</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>What will the printed output be when the following code is executed?</p>","<p>Answer is: 4, -1, 0, 12</p>","<p>Answer is: 4, -1, 0, 7.</p>","<p>Answer is: 5, -1, 1, 13.</p>","<p>Answer is: 0, 0, 0, 0.</p>",<p>None of the above</p>,"<p>This code simply gives you the the index/position of the last 0 in a given array of some size using a for loop.&nbsp;<br /><br />A is correct in terms of the numbers but when it comes to the output, it is incorrect because of one subtle detail; there is no dot at the end! The exact output should be Answer is: 4, -1, 0, 12.&nbsp;</p><p>&nbsp;</p><p>B is incorrect because the last number, 7, is the index of the first occurrence of 0. The loop does not stop until it reaches the end of the array so it keeps updating the index each iteration given this condition,&nbsp;array[i] == 0, is true. The only situation where B is the correct answer is that if a BREAK statement is added after the line a=i; so that when the first zero is found in an array, the loop will immediately break and return its index.&nbsp;</p><p>&nbsp;</p><p>C is incorrect because of how you count indices in an array. You simply start counting from 0 (the first element), not 1.&nbsp;</p><p>&nbsp;</p><p>D is incorrect because it prints the element and not its index</p><p>&nbsp;</p><p>E is correct because the correct answer is ----&gt;&nbsp; Answer is: 4, -1, 0, 12.&nbsp;&nbsp;</p><p>&nbsp;</p><p>When I made this question, I guess it was good to remind everybody to that exact output matters and to also read twice and write once.&nbsp;<br /><br /></p>","Arrays, For loops, printf function, Indexing"
7398750,13/10/2025 22:17,4,9,7,C,4,"<p>Examine the following function.</p><p>&nbsp;</p><p>#include &lt;stdio.h&gt;</p><p>void even(int *array, int length){</p><p>&nbsp; &nbsp; &nbsp;int i = 0;<br />&nbsp; &nbsp; &nbsp;int j = length;<br />&nbsp; &nbsp; &nbsp;while ((i&lt;length)&amp;&amp;(array[i]%2!=0)){<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; array[i] += 1;<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; i++;</p><p>&nbsp; &nbsp; &nbsp;}</p><p>}</p><p>&nbsp;</p><p>What would be the output if this code is used to call the function?</p><p>&nbsp;</p><p>int main (void){<br />&nbsp; &nbsp; &nbsp;int numbers[6] = {1,1,3,4,7,3};<br />&nbsp; &nbsp; &nbsp;even(numbers, 6);<br />&nbsp; &nbsp; &nbsp;int length = 6;<br />&nbsp; &nbsp; &nbsp;printf(""New Array = "");<br />&nbsp; &nbsp; &nbsp;for (int i=0;i&lt;length;i++){<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; printf(""%d"", numbers[i]);<br />&nbsp; &nbsp; &nbsp;}<br />}</p>",<p>New Array = 224484</p>,<p>New Array = 213473</p>,<p>New Array = 224473</p>,<p>New Array = 224584</p>,,"<p>The function called ""even"" converts all of the numbers in the array up to the first even number into evens by adding one to them. A while loop is utilised with the condition,&nbsp;((i&lt;length)&amp;&amp;(array[i]%2!=0)). This condition ensures that the function will alter the array only until the first even number and will not do anything past that. In this case, the function adds one to each value in the array (to make them even) until it reaches the number 4 (index position 3).&nbsp;</p>","Arrays, Conditional logic, Modulus, Incrementation"
7398754,13/10/2025 22:22,3.71,9,7,C,5,"<p><span style=""font-family: 'courier new', courier, monospace;"">What is the output of the following code?</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">int a = 1;<br />int b = 9;<br />int c = 2;&nbsp;</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">b = b / c;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">c = b - a;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">a = a + b % c;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">b = a * c - b;</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">printf(""Result = %d %d %d"", a, b, c);</span></p>",<p>Result = 3 2 3</p>,<p>Result = 2 3 2</p>,<p>Result = 2 2 3</p>,<p>Result = 1 4 3</p>,<p>Result = 3 3 2</p>,"<p>The key point is the first calculation, b = b / c. Variables b and c are both int variables, so even though the true mathematical answer is 4.5, the decimal component (.5) will get removed, and therefore equals 4. The remaining calculations are just BODMAS.</p>","Variable Types, Modulus, printf function, Order of operations"
7398757,13/10/2025 22:28,0,0,0,D,5,"<p>Consider the script below.</p><p>What will be printed to the command window after execution?</p><p>&nbsp;</p><p>&nbsp;</p><p>#include &lt;stdio.h&gt;</p><p>&nbsp;</p><p>int main(void) {<br />&nbsp; &nbsp; int i;<br />&nbsp; &nbsp; int total = 0;</p><p>&nbsp; &nbsp; for (i = 10; i &gt;= 8; i--) {<br />&nbsp; &nbsp; &nbsp; &nbsp; if (i % 2 == 0) {<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; total *= i;</p><p>&nbsp; &nbsp; &nbsp; &nbsp; }<br />&nbsp; &nbsp; &nbsp; &nbsp; else {<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; total += i;</p><p>&nbsp; &nbsp; &nbsp; &nbsp; }<br />&nbsp; &nbsp; }</p><p>&nbsp; &nbsp; &nbsp; &nbsp; printf(""%c"", total);<br />&nbsp; &nbsp; &nbsp; &nbsp; return 0;<br />}</p>",<p>72</p>,<p>720</p>,<p>9</p>,<p>H</p>,<p>A</p>,"<p>The loop is iterated through 3 times. 'i' becomes 10, 9, then 8.</p><p>The first time through the loop when i = 10 it enters the first if statement as 10%2 = 0. Therefore, that boolean statement is true. So total is being multiplied by 10. However, as total is 0. 10 * 0 = 0. The second time through the loop when i = 9 it doesn't match the if statement therefore it enters the else statement. Total increases by 9. So Total is now 9. The last time through the loop i = 8. This matches the first if statement, therefore it enters as 8%2 = 0. So total = 9 * 8, which is equal to 72.</p><p>Now it exits the for loop as i is now 7, which no longer meets the for loop requirements.</p><p>The print statement is executed. As it is '%c' not '%d', it now prints out the ascii character associated with the number 72 which is ""H"".</p><p>Therefore the answer is ""H"".</p>","Loops, For loops, printf function, Incrementation, Indexing"
7398759,13/10/2025 22:34,2.5,5,2,C,5,"<p><span style=""font-family: 'courier new', courier, monospace;"">#include &lt;stdio.h&gt;</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp;int main(void)&nbsp;<br /></span>{<br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp;double x = 3.14159;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp;printf(""|%2.f|\n"", x);</span><br /><span style=""font-family: 'courier new', courier, monospace;"">return 0;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}<br /><br />What will be the printed in this program?<br /></span></p>",<p>3.1</p>,<p>3</p>,<p>&nbsp;3</p>,<p>003</p>,<p>03</p>,"<p>The answer is C. This is because our field width equals to 2, which shows the number of characters that should be printed.&nbsp;</p>","printf function, trick question"
7398765,13/10/2025 22:42,2.5,2,2,C,5,<p>Assume int x; . Each of the following answer choices is executed separately. Four of these choices store the integer 5 in x. Which statement will produce a different integer?&nbsp;</p>,<p>x&nbsp; = 29 / 5;</p>,<p>x = (int)3.6 + (int)2.8;</p>,<p>x = (int)(3.6+2.8);</p>,<p>x = 14 % 9;</p>,<p>x = 1 + 8 / 2;</p>,<p>The answer C is correct as (int)6.4 = 6</p><p>&nbsp;</p><p>A is incorrect as 29 / 5 uses integer division -&gt; 5</p><p>B is incorrect as (int)3.6 + (int)2.8 -&gt; 3 + 2 = 5</p><p>D is incorrect as 14 % 9 = remainder 5</p><p>E is incorrect as 1 + 8 / 2 = 1 + 4 = 5</p>,"Variable Types, Modulus, Order of operations"
7398766,13/10/2025 22:43,0,3,1,C,5,"<p>What is the output of this code?&nbsp;</p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">#include &lt;stdio.h&gt;</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">int main(void)</span><br /><span style=""font-family: 'courier new', courier, monospace;"">{</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; int x = 3;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; int y = (x++);</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; printf(""%d %d"", x, y);</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; return 0;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p>",<p>3 4</p>,<p>3 3</p>,<p>4 3</p>,<p>4 4</p>,<p>The code will not run properly</p>,"<p>Step 1:<br />int x = 3;<br />x is initialized to 3.</p><p>&nbsp;</p><p>Step 2:<br />int y = (x++);<br />x++ is a post-increment operator. It returns the current value of x, and then increments x by 1 AFTER the expression is evaluated.</p><p>Hence, y gets assigned the old value of x.<br />y = 3<br />x gets incremented and x = 4.</p><p>&nbsp;</p><p>If the pre-increment operator was used: ++x.<br />x gets incremented THEN y get assigned the value of x.<br />In this case, x = 4, y = 4.</p>","Incrementation, Order of operations, trick question"
7398768,13/10/2025 22:46,0,2,1,C,5,<p>The following statements calculate an arithmetic expression and assign the result to an integer variable named result.<br />One of these expressions produces a different value from the other four. Which one is the odd one out?</p><p>&nbsp;</p>,<p>result = 25 / 4;</p>,<p>result = (int)8.9 + (int)3.2;</p>,<p>result = (int)(8.9 + 3.2);</p>,<p>result = 25 % 4;</p>,<p>result = 10 / 3;</p>,"<p>Let's do it one by one!</p><p>(a) 25 / 4 = 6 (integer division &rarr; truncates decimal)<br />(b) (int)8.9 + (int)3.2 = 8 + 3 = 11<br />(c) (int)(8.9 + 3.2) = (int)12.1 = 12<br />(d) 25 % 4 = 1<br />(e) 10 / 3 = 3</p><p>&nbsp;</p><p>So,&nbsp;Most results are around whole number divisions, but option (c) gives 12, while others give smaller integers (6, 11, 1, 3).<br />So the odd one out is (c).</p>","Variable Types, Modulus, Order of operations"
7398772,13/10/2025 22:55,4.67,4,3,D,5,"<p>What is the output of this code?&nbsp;</p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">int main(void) </span></p><p><span style=""font-family: 'courier new', courier, monospace;"">{</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; int a = 0;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; int b = 13%7;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; while (a &lt;= b) </span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; a++;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; printf(""%d "", a);</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; }</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; return 0;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p>",<p>1 2 3 4 5</p>,<p>0 1 2 3 4 5 6 7</p>,<p>0 1 2 3 4 5 6</p>,<p>1 2 3 4 5 6 7</p>,<p>None of the above</p>,"<p>13 % 7 gives the remainder of dividing 13 by 7.<br />13=7&times;1+6, so the remainder is 6. b = 6.</p><p>&nbsp;</p><p>For the loop:&nbsp;</p><p>The loop condition checks a before incrementing.<br />Inside the loop, a is incremented before printing, so the printed values are 1 greater than the values used in the condition.<br />Since b = 6, the loop runs 7 times (when a is 0 through 6), and a goes up to 7 during the last iteration.</p>","Loops, Incrementation, Indexing"
7398783,13/10/2025 23:07,0,1,0,B,4,"<p>#include &lt;stdio.h&gt;</p><p>&nbsp;</p><p>int main(void)<br />{<br />&nbsp; &nbsp; &nbsp;int x = 10;<br />&nbsp; &nbsp; &nbsp;int y = 20;<br />&nbsp; &nbsp; &nbsp;int *p = &amp;x;<br />&nbsp; &nbsp; &nbsp;int *q = p;</p><p>&nbsp;</p><p>&nbsp; &nbsp; &nbsp;*q = y;<br />&nbsp; &nbsp; &nbsp;y = y + 5;</p><p>&nbsp;</p><p>&nbsp; &nbsp; &nbsp;printf(""%d %d %d\n"", x, y, *p);<br />&nbsp; &nbsp; &nbsp;return 0;<br />}</p>",<p>10 25 10</p>,<p>20 25 20</p>,<p>25 25 25</p>,<p>15 20 15</p>,,"<p>In this program, both pointers p and q point to the same variable x because of the line int *q = p;.<br />When we execute *q = y; the value of y (which is 20) is assigned to the location that q points to, that is, x.<br />So now x becomes 20.</p><p>Next, the statement y = y + 5; increases y to 25, but does not affect x, since they are separate variables.</p>",-
7398793,13/10/2025 23:15,2.67,3,3,E,5,"<p>What does this program print out?<br /><br /></p><p><span style=""font-family: 'courier new', courier, monospace;"">int main(void) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; int a = 10, b = 3;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; int *c = &amp;a, *d = &amp;b;</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; b = *c % *d;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; c = d;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; *c = a;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; d = &amp;a;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; a = *c + *d - b;</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; printf(""%d %d"", a, b);</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; return 0;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p>",<p>0 10</p>,<p>20 10</p>,<p>1 10</p>,<p>10 1</p>,<p>10 10</p>,"<p>This question is about carefully keeping track of pointers. Initially, the pointer variable <span style=""font-family: 'courier new', courier, monospace;"">c</span> points to <span style=""font-family: 'courier new', courier, monospace;"">a</span> (<span style=""font-family: 'courier new', courier, monospace;"">c -&gt; a</span>), and similarly, <span style=""font-family: 'courier new', courier, monospace;"">d -&gt; b</span>.</p><ol><li>We first set the value of <span style=""font-family: 'courier new', courier, monospace;"">b</span> to&nbsp;<span style=""font-family: 'courier new', courier, monospace;"">*c % *d</span>, which is equivalent to <span style=""font-family: 'courier new', courier, monospace;"">a % b</span>, or <span style=""font-family: 'courier new', courier, monospace;"">10 % 3</span>, so <span style=""font-family: 'courier new', courier, monospace;"">b = 1</span>.</li><li>The next line makes&nbsp;<span style=""font-family: 'courier new', courier, monospace;"">c</span> point to the same location as <span style=""font-family: 'courier new', courier, monospace;"">d</span>, i.e. <span style=""font-family: 'courier new', courier, monospace;"">b<span style=""font-family: arial, helvetica, sans-serif;"">, so</span> c -&gt; b<span style=""font-family: arial, helvetica, sans-serif;""> and</span> d -&gt; b.</span><span style=""font-family: 'courier new', courier, monospace;""><br /></span></li><li>The third line sets the value pointed to by&nbsp;<span style=""font-family: 'courier new', courier, monospace;"">c</span> to <span style=""font-family: 'courier new', courier, monospace;"">a(10)</span>, so <span style=""font-family: 'courier new', courier, monospace;"">b = 10</span>.</li><li>The pointer variable <span style=""font-family: 'courier new', courier, monospace;"">d</span> is reassigned to the address of <span style=""font-family: 'courier new', courier, monospace;"">a</span>, so <span style=""font-family: 'courier new', courier, monospace;"">d -&gt; a<span style=""font-family: arial, helvetica, sans-serif;""> and&nbsp;</span>c -&gt; b.</span></li><li>Finally, the value of&nbsp;<span style=""font-family: 'courier new', courier, monospace;"">a<span style=""font-family: arial, helvetica, sans-serif;"">&nbsp;</span><span style=""font-family: arial, helvetica, sans-serif;"">is set to&nbsp;<span style=""font-family: 'courier new', courier, monospace;"">*c + *d - b.<span style=""font-family: 'courier new', courier, monospace;""><span style=""font-family: arial, helvetica, sans-serif;"">&nbsp;This is the same as <span style=""font-family: 'courier new', courier, monospace;"">b + a - b</span>, i.e. <span style=""font-family: 'courier new', courier, monospace;"">a =&nbsp;10 + 10 - 10 = 10&nbsp;</span></span></span></span></span></span></li></ol><p><span style=""font-family: arial, helvetica, sans-serif;"">Final values: <span style=""font-family: 'courier new', courier, monospace;"">a = 10</span>, <span style=""font-family: 'courier new', courier, monospace;"">b = 10</span></span></p><p>&nbsp;</p>",pointers
7398794,13/10/2025 23:15,4.33,8,6,E,5,"<p><span style=""font-family: 'courier new', courier, monospace;"">#include &lt;stdio.h&gt;</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">void puzzle(int *x, int *y, int *z) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">*x = *y + *z;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">*y = *x - *z;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">*z = *y - *x;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">x = y;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">y = z;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">int main() {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">int a = 10, b = 5, c = 3;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">int *p = &amp;a;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">int *q = &amp;b;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">int *r = &amp;c;</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">puzzle(p, q, r);</span><br /><span style=""font-family: 'courier new', courier, monospace;"">puzzle(q, r, p);</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">printf(""Values: %d, %d, %d\n"", a, b, c);</span><br /><span style=""font-family: 'courier new', courier, monospace;"">printf(""Pointers: %d, %d, %d\n"", *p, *q, *r);</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">return 0;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p>","<p>Values: 8, 3, -5 and Pointers: 8, 3, -5</p>","<p>Values: 8, 5, -3 and Pointers: -8, 5, -3</p>","<p>Values: 8, 3, -5 and Pointers: 5, -3, -8</p>","<p>Values: 10, 5, 3 and Pointers: 10, 5, 3</p>","<p>Values: -8, 5, -3&nbsp;and Pointers: -8, 5, -3</p>","<p>The values are inputted into the function<br />The first time we have<br />*x = *y + *z &rarr; a = b + c = 5 + 3 = 8</p><p>*y = *x - *z &rarr; b = a - c = 8 - 3 = 5</p><p>*z = *y - *x &rarr; c = b - a = 5 - 8 = -3</p><p>The&nbsp;x = y; and y = z; don't do anything as they are only in local function&nbsp;</p><p>The second time</p><p>*x = *y + *z &rarr; b = c + a = -3 + 8 = 5</p><p>*y = *x - *z &rarr; c = b - a = 5 - 8 = -3</p><p>*z = *y - *x &rarr; a = c - b = -3 - 5 = -8</p><p>the final values in the variable here is -8, 5, -3 since p,q,r are flipped around</p><p>the outputs a,b,c is the same as *p, *q, *r&nbsp; since they are still pointing to those values.</p><p>&nbsp;</p>","pointers, trick question"
7398805,13/10/2025 23:22,4.17,6,6,A,5,"<p>What is the output of the following code?<br /><br /></p><p>&nbsp;</p><p>#include &lt;stdio.h&gt;</p><p>&nbsp;</p><p>int main(void)</p><p>{</p><p>&nbsp; &nbsp;int a = 4;</p><p>&nbsp; &nbsp;int b = 7;</p><p>&nbsp;</p><p>&nbsp; &nbsp;int *p = &amp;a;<br />&nbsp; &nbsp;int *q = &amp;b;</p><p>&nbsp;</p><p>&nbsp; &nbsp;*q = *p + b;<br />&nbsp; &nbsp;p = &amp;b;<br />&nbsp; &nbsp;*p = *p - a;<br />&nbsp; &nbsp;a = *p;</p><p>&nbsp;</p><p>&nbsp; &nbsp;printf(""Result: a = %d, b = %d\n"", a, b);</p><p>&nbsp; &nbsp;return 0;<br />}</p>","<p>Result: a = 7, b = 7</p>","<p>Result: a = 11, b = 7</p>","<p>Result: a = 4, b = 11</p>","<p>Result: a = 7, b = 4</p>","<p>Result: a = 4, b = 7</p>","<p>1) p points to a while q points to b.</p><p>2) *q = *p + b; uses current values of a and b: b = a + b = 4 + 7 = 11.</p><p>3) p = &amp;b; now p points to b (not a anymore).</p><p>4) *p = *p - a; means b = b - a = 11 - 4 = 7 (note: a is still 4 here).</p><p>5) a = *p; copies the current b into a: a = 7.</p><p>6) So both end up 7, and the print is Result: a = 7, b = 7.</p>",pointers
7398806,13/10/2025 23:17,3.29,8,7,D,5,"<p>#include &lt;stdio.h&gt;</p><p>&nbsp;</p><p>void baddies(char *word)<br />{<br />int i = 0;<br />char temp;<br />while (word[i] != '\0')<br />{<br />i++;<br />}<br />int j = 0;<br />while ((j &lt; i/2))<br />{<br />temp = word[i - j - 1];<br />word[i - j - 1] = word[j];<br />word[j] = temp;<br />j++;<br />}</p><p><br />}</p><p>int main (void)<br />{<br />char word [100] = ""SLLEMS OMREH EKUL"";<br />baddies(word);<br />printf(""%s\n"", word);<br />}</p>",<p>LUKE HERPES SMELLS&nbsp;</p>,"<p>""LUKE HERPES SMELLS""</p>",<p>1 error generated.</p>,<p>LUKE HERMO SMELLS</p>,"<p>""LUKE HERMO SMELLS""</p>",<p>this code revearses the order of all charectors in a given string. it includes space as a charector.&nbsp;</p>,"Loops, Strings, Indexing"
7398809,13/10/2025 23:25,2.5,6,4,B,4,"<p>What will be the output of this code?</p><p>&nbsp;</p><p>#include &lt;stdio.h&gt;</p><p>int main() {</p><p>&nbsp;</p><p>char arr[3][6] = {""red"", ""blue"", ""green""};<br />char *p = arr[1];</p><p>&nbsp;</p><p>printf(""%s\n"", p + 2);</p><p>&nbsp;</p><p>return 0;<br />}</p>",<p>lue</p>,<p>ue</p>,<p>ed</p>,<p>none of the above</p>,,"<p>char arr[3][6] stores 3 strings with each having a maximum length of 5 and one null terminator.</p><p>&nbsp;</p><p>p points to ""blue"" as arr[0] is red.&nbsp;</p><p>&nbsp;</p><p>p + 2 points to ""ue"" substring as b will be index 0 so index 2 will be u.</p><p>&nbsp;</p><p>function prints starting from u which will be ue.</p>","Arrays, pointers, printf function, Strings, Pass by Reference"
